,Ave Rating
3350,3.75
1156,1.7
2883,4.12
2445,3.58
1209,3.66
1065,4.55
2156,4.03
1062,4.47
2616,3.95
1167,2.67
1492,3.79
2770,3.94
884,4.08
143,2.98
3295,4.45
850,3.83
717,3.13
3183,3.33
2502,4.59
264,3.98
75,4.48
2492,4.42
395,3.9
2852,4.38
2224,4.18
3138,3.56
396,3.93
1365,4.01
3109,3.56
1903,3.97
595,4.2
2109,4.16
1296,2.75
1821,4.1
872,4.05
3261,3.64
2326,4.07
1548,3.65
36,4.22
2710,3.88
2830,4.52
2143,4.11
3178,3.71
977,4.05
1571,3.62
1122,3.86
2786,3.81
2239,4.33
2504,4.08
1892,3.8
675,4.4
728,3.58
412,3.64
1516,3.64
1649,4.42
825,4.15
616,4.21
114,3.68
417,3.71
1625,4.54
2652,4.4
3291,4.23
89,3.47
2932,4.18
2082,4.56
753,3.89
2546,4.43
1630,3.69
11,3.37
2444,3.86
284,3.89
1066,4.6
1191,3.67
1440,2.08
3141,4.27
3140,3.52
2738,3.85
3036,4.02
1568,3.78
2427,3.6
2737,3.92
2887,4.03
1687,4.07
851,3.97
2207,3.83
895,4.12
496,3.48
2305,3.88
1782,4.07
335,3.41
515,3.36
1348,3.95
1015,4.21
2816,3.81
3148,3.6
3143,3.75
2809,4.3
1781,4.13
2569,4.36
1785,4.3
2070,3.79
356,3.54
3194,3.9
1312,3.61
1635,3.65
550,3.35
2388,3.84
2479,3.96
2521,4.01
2265,4.12
1227,3.43
3100,3.88
957,4.05
1773,4.09
2141,3.79
1008,4.18
1092,4.33
2996,3.98
2744,3.87
996,3.75
1679,4.37
153,3.63
3121,3.23
2837,4.3
580,4.1
1470,3.83
703,4.42
1212,3.84
896,4.06
487,3.58
559,3.9
1141,2.94
1119,3.73
2849,4.08
512,3.36
633,3.84
2895,4.17
1664,4.45
1012,4.3
1931,4.12
1150,2.67
2838,3.86
3145,3.52
116,4.13
740,3.82
3097,3.8
1974,4.19
1081,4.48
1810,4.0
830,4.34
119,3.71
656,4.19
3061,3.75
3015,4.0
3282,4.26
635,3.62
369,4.08
268,3.6
2703,4.0
2870,4.03
46,3.94
991,3.4
876,4.07
773,3.52
1219,3.76
1126,3.5
4,3.78
1595,3.29
2311,4.08
3215,3.81
2491,3.93
1077,4.52
837,3.87
681,4.23
1715,3.67
2352,3.59
2617,3.76
2361,3.46
2197,4.29
1148,2.85
574,3.37
50,3.56
853,3.59
1982,3.96
2774,4.02
1823,4.3
833,4.39
1115,3.69
1166,2.03
2518,3.96
1906,3.19
971,4.24
2701,3.96
399,4.12
2559,4.04
2368,3.68
19,3.64
684,4.51
35,4.33
3169,3.53
2875,4.14
524,3.53
2455,3.85
920,3.5
1841,3.78
1890,3.67
537,3.85
2806,3.88
1705,3.4
3281,4.33
245,3.69
784,3.53
1409,4.11
2537,3.98
154,3.62
1686,4.46
2901,3.75
625,3.97
2733,3.72
3219,3.99
1346,4.23
569,4.43
3283,4.32
1758,4.59
1816,3.85
2065,3.78
127,3.89
3334,3.62
2006,4.34
2975,4.4
980,3.26
3331,3.56
190,4.24
1139,3.52
992,3.79
699,4.17
606,3.67
180,3.58
301,3.79
2544,4.01
3114,3.37
1060,4.59
3159,4.07
3221,3.95
2565,4.15
1069,4.46
2524,4.02
2205,3.52
1243,3.97
16,3.75
3337,3.84
546,3.78
658,4.21
3111,3.92
3235,3.88
1504,3.68
959,3.97
2926,4.46
2331,4.25
797,4.04
225,3.74
2074,4.05
1799,4.11
2485,3.18
3317,4.19
2277,3.61
2085,4.32
1693,2.22
2797,4.03
1045,4.47
469,3.59
954,3.66
3333,3.8
2735,3.86
639,3.54
3117,3.89
1218,3.13
1158,2.02
1415,4.04
3040,4.13
1527,4.27
3271,4.03
1300,3.13
3209,4.23
2848,3.88
1603,3.69
160,4.05
1704,3.87
956,3.86
2869,4.11
3265,3.83
877,3.88
1919,3.79
2961,3.83
1884,3.99
2200,3.4
98,4.29
3167,4.11
2557,4.03
253,3.54
103,3.79
1445,2.21
1443,2.75
1648,4.48
586,3.53
627,3.62
1696,2.43
2101,4.13
2199,3.62
403,3.85
1154,1.99
2255,3.61
2863,4.25
1682,4.04
2056,3.82
3062,4.16
3186,4.15
452,3.78
2301,4.12
1327,3.8
2944,4.33
2049,3.85
880,4.06
3268,3.73
623,4.16
2393,4.08
3108,3.58
1787,3.93
262,4.29
1634,4.21
1438,2.81
2198,3.97
1969,3.74
2520,4.44
1802,3.66
640,3.69
3345,3.64
2385,3.9
2598,4.06
3170,4.24
1959,3.47
2976,4.33
