,Name,key
398,Very Very Far,1749
399,Pater Lieven Blond,1750
400,Ayinger Celebrator,1
401,Troegenator,2
402,Spaten Optimator,3
403,Salvator,4
404,Korbinian,5
405,Samichlaus Classic Bier,6
406,Samuel Adams Double Bock (Imperial Series)Boston Beer Company (Samuel Adams),7
407,Consecrator,8
408,Andechser Doppelbock Dunkel,9
409,Birra Moretti La RossaBirra Moretti (Heineken),10
410,Perkulator Coffee Dopplebock,11
411,EKU 28,12
412,Liberator Doppelbock,13
413,Augustiner Bräu Maximator,14
414,Smuttynose S'muttonator (Heritage Series),15
415,Butthead Doppelbock,16
416,Autumnal Fire,17
417,Weltenburger Kloster Asam-Bock,18
418,Wasatch The Devastator Double Bock,19
419,St. Victorious,20
420,Urbock 23°,21
421,Voodoovator,22
422,Saxonator Dunkles Doppelbock,23
423,Doppel-Hirsch,24
424,Josephs Brau Winter Brew,25
425,Duck-Rabbator,26
426,Troegenator - Bourbon Barrel-Aged,27
427,Ettaler Curator Dunkler Doppelbock (US Import Version),28
428,Blonde Doppelbock,29
429,Snow Blind Doppelbock,30
430,Doppelbock Dunkel,31
431,Tucher Bajuvator Doppelbock,32
432,Dark Heathen Triple Bock,33
433,Winter Bock,34
434,Deep Water Dopplebock,35
435,Doppelbock Grande Cuvée Printemps,36
436,Lobotomy Bock,37
437,Sled Dog Dopplebock,38
438,Primátor Double Bock Beer,39
439,Icelandic DoppelbockEinstök Ölgerð (Einstök Beer Company),40
440,Dopple Bock,41
441,St. Nikolaus Bock Bier - Brewer's Reserve,42
442,Double Skull,43
443,Emancipator Doppelbock,44
444,Winter-Bock,45
445,Granitbock,46
446,Henry's Farm Double Bock,47
447,Double Vision Doppelbock,48
448,Massacre,49
449,Fireman's Brew Brunette Beer,50
450,Schneider Aventinus Eisbock,51
451,Raspberry Eisbock,52
452,Eisbock,53
453,Winter Wonder Lager,54
454,Hermannator,55
455,Ramstein Winter Wheat Eisbock,56
456,Schneider Weisse Tap X Aventinus Eisbock Barrique,57
457,Granitbock Ice,58
458,Double Ice Bock,59
459,Fire And Eisbock,60
460,Schnee Boot,61
461,Eisbock (Congelator),62
462,Freeze Ray,63
463,Schorschbock Ice 13,64
464, Schorschbock 31%,65
465,La Félix,66
466,G'froren's Iced IPA: Saphir,67
467,Eisbock (Ice Bock),68
468,Bourbon Barrel Aged Eisbock,69
469,Shiva's Wrath,70
470,Imperial Bock,71
471,Layer Up,72
472,Faust Holzfassgereifter Eisbock,73
473,Caraquet Flyer,74
474, Schorschbock 57%,75
475,Störtebeker Eis-Lager,76
476,Eisbock,77
477,Texas Ice Bock,78
478,Bad Santa,79
479,Eis Instigator,80
480,Ijsbok HoutStichting Noordhollandse Alternatieve Bierbrouwers (SNAB),81
481,Störtebeker Nordik Porter,82
482,Eis Eis Baby,83
483,Four Years Dessert,84
484,Smooth Like Jazz,85
485,G'froren's Iced IPA: Aurora,86
486,G'froren's Iced IPA: Mandarina Bavaria,87
487,Balinatoreised,88
488,Ex-girlfriend,89
489,Störtebeker Arktik Ale,90
490,Ganonoque Eisbock,91
491,Devil's Advocate,92
492,Ex-Girlfriend BA Ruby Port & Jamaican Rum,93
493,Woman in Black,94
494,My Name Is Legion,95
495,Black Ice,96
496,Medusalem Eisbock,97
497,Jamie the Magnificent,98
498,Craft-A Eisbock,99
499,eisbock,100
500,Dead Guy Ale,101
501,Andygator,102
502,Mardi Gras Bock,103
503,Hofbräu Maibock (Urbock),104
504,Cultivator,105
505,Cabin Fever,106
506,John John Dead Guy Ale,107
507,Dundee Pale Bock Lager,108
508,Maibock,109
509,Mai-Ur-Bock,110
510,Samichlaus Bier Helles,111
511,Josephs Brau Heller Bock,112
512,Blonde Bock,113
513,Boss Tom's Golden Bock,114
514,Maibock,115
515,Maibock Hurts Like Helles,116
516,Narragansett Bock,117
517,Berkshire Maibock Lager,118
518,LTD Series - 04,119
519,Blonde Double MaiBock,120
520,Mai Bock,121
521,Maibock,122
